...1,year,month,region,state,victim_age,victim_sex,victim_race,victim_race_plus_hispanic,victim_ethnicity,weapon_used,victim_offender_split,offenders_relationship_to_victim,offenders_relationship_to_victim_grouping,offender_sex,circumstance,circumstance_grouping,extra_circumstance_info,multiple_victim_count,incident_id,additional_victim
366394,2017,5,Southeast,AR,21,Male,Black,Black,Not of Hispanic Origin,firearm,Multiple Victims/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,501573,TRUE
370305,2017,4,Midwest,IN,33,Female,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,506611,FALSE
376364,2017,5,Southeast,TN,23,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,514452,FALSE
376065,2017,3,Southeast,TN,35,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Multiple Offenders,acquaintance,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,514097,FALSE
368405,2017,6,Southwest,CO,26,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,504319,FALSE
372831,2017,10,Southeast,MS,36,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,509831,FALSE
367468,2017,8,Southwest,CA,25,Male,Black,Black,Not of Hispanic Origin,handgun,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,1,502980,TRUE
371988,2017,6,Midwest,MI,59,Male,Black,Black,Unknown,firearm,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,508838,FALSE
376655,2017,10,Southeast,TX,26,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,514840,FALSE
376991,2017,6,Southeast,TX,30,Male,Black,Black,Not of Hispanic Origin,firearm,Multiple Victims/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,515282,TRUE
366891,2017,10,Southwest,CA,60,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other - known to victim,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,502259,FALSE
370614,2017,1,Midwest,KY,33,Male,Black,Black,Not of Hispanic Origin,handgun,Multiple Victims/Multiple Offenders,unknown,Outside Family But Known to Victim,Male,Narcotic Drug Laws,Felony Type,NA,1,507015,TRUE
